Gene	Category
ENSDARG00000068923	EGF
ENSDARG00000029482	EGF
ENSDARG00000099266	EGF
ENSDARG00000102565	EGF
ENSDARG00000009401	EGF
ENSDARG00000075441	EGF
ENSDARG00000103443	EGF
ENSDARG00000005541	EGF
ENSDARG00000005216	EGF
ENSDARG00000100782	EGF
ENSDARG00000057138	EGF
ENSDARG00000052375	EGF
ENSDARG00000035350	IGF
ENSDARG00000035862	IGF
ENSDARG00000103762	IGF
ENSDARG00000058058	IGF
ENSDARG00000070966	IGF
ENSDARG00000034610	IGF
ENSDARG00000018643	IGF
ENSDARG00000070780	IGF
ENSDARG00000033307	IGF
ENSDARG00000094132	IGF
ENSDARG00000103554	NOTCH_EGF
ENSDARG00000052094	NOTCH_EGF
ENSDARG00000043130	NOTCH_EGF
ENSDARG00000052139	NOTCH_EGF
ENSDARG00000071494	LHR
ENSDARG00000026081	LHR
