gene	cluster
AN4650	Cluster_5
AN4649	Cluster_8
AN4648	Cluster_8
AN4647	Cluster_5
AN4646	cluster_T
AN4645	Cluster_8
AN4644	Cluster_8
AN4643	Cluster_5
AN4642	Cluster_8
AN10573	Cluster_2
AN10576	cluster_T
AN4640	Cluster_1
AN4639	Cluster_1
AN4638	Cluster_5
AN12164	Cluster_5
AN4637	Cluster_5
AN4636	Cluster_1
AN10572	Cluster_1
AN10575	Cluster_5
AN4634	Cluster_1
AN4633	Cluster_5
AN4632	Cluster_5
AN4631	Cluster_1
AN4630	Cluster_1
AN4628	Cluster_8
AN4629	cluster_T
AN4627	cluster_T
AN4626	Cluster_5
AN4625	Cluster_8
AN10579	Cluster_8
AN10571	Cluster_8
AN4623	Cluster_8
AN4622	Cluster_2
AN4621	Cluster_7
AN4620	cluster_T
AN4619	Cluster_5
AN4618	Cluster_8
AN4617	Cluster_1
AN4616	Cluster_8
AN4615	Cluster_5
AN4614	Cluster_5
AN4613	Cluster_1
AN4612	Cluster_1
AN11444	Cluster_1
AN4611	Cluster_8
AN4610	Cluster_8
AN4609	Cluster_8
AN4608	Cluster_8
AN4607	cluster_T
AN4606	Cluster_5
AN4605	cluster_T
AN4604	Cluster_8
AN4603	Cluster_5
AN12163	Cluster_8
AN4602	Cluster_1
AN4601	Cluster_1
AN4600	Cluster_1
AN4599	Cluster_8
AN4598	Cluster_5
AN4597	Cluster_1
AN4596	Cluster_1
AN4595	Cluster_1
AN4594	Cluster_1
AN4593	Cluster_8
AN4592	Cluster_5
AN4591	cluster_T
AN12465	Cluster_8
AN4590	Cluster_8
AN4589	Cluster_8
AN4588	Cluster_8
AN11914	Cluster_1
AN4587	Cluster_8
AN4586	Cluster_5
AN4585	Cluster_8
AN4584	Cluster_1
AN4583	Cluster_1
AN4582	Cluster_1
AN4581	Cluster_1
AN4580	Cluster_1
AN4579	Cluster_1
AN4578	Cluster_5
AN4577	Cluster_8
AN4576	Cluster_5
AN4575	cluster_T
AN4574	cluster_T
AN4573	Cluster_8
AN4572	Cluster_8
AN4571	Cluster_1
AN4570	Cluster_1
AN4569	Cluster_1
AN10570	Cluster_1
AN10565	Cluster_1
AN4567	Cluster_1
AN4566	Cluster_1
AN4565	Cluster_1
AN4564	Cluster_7
AN4563	Cluster_2
AN4562	Cluster_1
AN4561	Cluster_1
AN4560	Cluster_1
AN4559	Cluster_1
AN4558	Cluster_1
AN4557	Cluster_1
AN4556	Cluster_1
AN4555	Cluster_1
AN4554	Cluster_1
AN4553	Cluster_1
AN4552	Cluster_1
AN11913	Cluster_1
AN11912	Cluster_1
AN4550	Cluster_1
AN4549	Cluster_1
AN4548	Cluster_1
AN4547	Cluster_1
AN4546	Cluster_1
AN4545	Cluster_5
AN4544	Cluster_5
AN4543	Cluster_1
AN4542	Cluster_5
AN4541	Cluster_5
AN4540	Cluster_5
AN4539	Cluster_5
AN4538	Cluster_8
AN4537	Cluster_8
AN4536	Cluster_7
AN4535	Cluster_5
AN11911	Cluster_7
AN4534	Cluster_1
AN10564	Cluster_1
AN10567	Cluster_1
AN4532	Cluster_1
AN4531	Cluster_1
AN4530	Cluster_1
AN4529	Cluster_5
AN11442	cluster_T
AN4528	Cluster_5
AN4527	Cluster_5
AN4526	Cluster_8
AN4525	Cluster_5
AN4524	Cluster_2
AN4523	Cluster_7
AN4522	Cluster_1
AN4521	Cluster_8
AN4520	Cluster_8
AN4519	Cluster_1
AN4518	Cluster_2
AN4517	Cluster_2
AN10569	Cluster_1
AN10563	Cluster_1
AN4515	Cluster_5
AN10566	Cluster_8
AN10562	Cluster_5
AN4513	Cluster_1
AN4512	Cluster_5
AN4511	Cluster_1
AN4510	Cluster_8
AN4509	Cluster_8
AN11910	Cluster_1
AN4508	Cluster_1
AN4507	Cluster_1
AN4506	Cluster_1
AN4505	Cluster_8
AN4504	Cluster_7
AN4503	cluster_T
AN4502	Cluster_2
AN4501	Cluster_2
AN4500	Cluster_2
AN4499	Cluster_7
AN4498	Cluster_1
AN11439	Cluster_1
AN4497	Cluster_5
AN4496	Cluster_5
AN4495	Cluster_1
AN4494	Cluster_1
AN4493	Cluster_1
AN4492	Cluster_1
AN4491	Cluster_1
AN4490	Cluster_1
AN4489	Cluster_5
AN4488	Cluster_1
AN4487	Cluster_1
AN4486	Cluster_1
AN4485	Cluster_1
AN11909	Cluster_1
AN4484	Cluster_5
AN4483	Cluster_5
AN4482	Cluster_5
AN4481	cluster_T
AN4480	Cluster_5
AN4479	Cluster_2
AN4478	Cluster_7
AN4477	Cluster_1
AN10568	Cluster_1
AN10561	Cluster_1
AN4475	Cluster_1
AN4474	Cluster_1
AN4473	Cluster_1
AN4472	Cluster_1
AN4471	Cluster_5
AN4470	Cluster_1
AN11231	Cluster_1
AN9433	Cluster_1
AN11230	Cluster_1
AN9434	Cluster_1
AN9435	Cluster_1
AN4469	Cluster_1
AN4468	Cluster_1
AN4467	Cluster_1
AN10557	Cluster_1
AN10560	Cluster_1
AN4465	Cluster_1
AN4464	Cluster_1
AN4463	Cluster_8
AN4462	Cluster_5
AN4461	Cluster_1
AN4460	Cluster_1
AN4459	Cluster_1
AN4458	Cluster_1
AN4457	Cluster_1
AN4456	Cluster_1
AN4455	Cluster_1
AN4454	Cluster_1
AN4453	Cluster_1
AN4452	Cluster_1
AN4451	Cluster_1
AN12265	Cluster_1
AN4450	Cluster_1
AN4449	Cluster_8
AN4448	Cluster_1
AN4447	Cluster_1
AN4446	Cluster_1
AN4445	Cluster_1
AN4444	Cluster_5
AN4443	Cluster_8
AN10559	cluster_T
AN10556	Cluster_8
AN4441	Cluster_5
AN4440	Cluster_7
AN4439	Cluster_2
AN4438	Cluster_2
AN10555	cluster_T
AN10558	Cluster_2
AN11438	cluster_T
AN12264	Cluster_2
AN4435	Cluster_1
AN4434	Cluster_1
