gene	cluster
AN4777	Cluster_3
AN4776	Cluster_6
AN4775	Cluster_4
AN4774	Cluster_4
AN12223	Cluster_4
AN4773	Cluster_4
AN12222	Cluster_4
AN12221	Cluster_4
AN4771	Cluster_4
AN9485	Cluster_6
AN9486	Cluster_4
AN10593	Cluster_6
AN4770	Cluster_6
AN4769	Cluster_6
AN4768	Cluster_4
AN4767	Cluster_4
AN4766	Cluster_4
AN10584	Cluster_4
AN10591	Cluster_4
AN4764	Cluster_4
AN4763	Cluster_6
AN4762	Cluster_6
AN4761	Cluster_4
AN4760	Cluster_4
AN4759	Cluster_6
AN4758	Cluster_6
AN4757	Cluster_4
AN10583	Cluster_4
AN10586	Cluster_4
AN10590	Cluster_4
AN4755	Cluster_4
AN4754	Cluster_4
AN4753	Cluster_4
AN4752	Cluster_4
AN4751	Cluster_4
AN4750	Cluster_4
AN4749	Cluster_4
AN4748	Cluster_4
AN4747	Cluster_4
AN4746	Cluster_4
AN4745	Cluster_4
AN4744	Cluster_4
AN4743	Cluster_4
AN4742	Cluster_3
AN11978	Cluster_6
AN4741	Cluster_4
AN4740	Cluster_4
AN4739	Cluster_4
AN4738	Cluster_4
AN10582	Cluster_4
AN10585	Cluster_6
AN4736	Cluster_6
AN4735	Cluster_4
AN4734	Cluster_4
AN4733	Cluster_6
AN4732	Cluster_6
AN4731	Cluster_4
AN4730	Cluster_4
AN4729	Cluster_4
AN4728	Cluster_4
AN4727	Cluster_4
AN4726	Cluster_4
AN4725	Cluster_4
AN4724	Cluster_4
AN4723	Cluster_4
AN4722	Cluster_4
AN11977	Cluster_4
AN4721	Cluster_4
AN11976	Cluster_4
AN4720	Cluster_4
AN4719	Cluster_6
AN4718	Cluster_6
AN4717	Cluster_4
AN4716	Cluster_6
AN4715	Cluster_6
AN4714	Cluster_6
AN4713	Cluster_4
AN10589	Cluster_4
AN10581	Cluster_4
AN4711	Cluster_4
AN4710	Cluster_4
AN4709	Cluster_4
AN4708	Cluster_4
AN4707	Cluster_4
AN4706	Cluster_4
AN4705	Cluster_4
AN4704	Cluster_4
AN4703	Cluster_4
AN4702	Cluster_4
AN4701	Cluster_4
AN4700	Cluster_4
AN4699	Cluster_4
AN4698	Cluster_4
AN10592	Cluster_4
AN4697	Cluster_4
AN4696	Cluster_4
AN4695	Cluster_4
AN4694	Cluster_4
AN10580	Cluster_4
AN10588	Cluster_4
AN4692	Cluster_4
AN4691	Cluster_4
AN4690	Cluster_4
AN4689	Cluster_4
AN4688	Cluster_4
AN4687	Cluster_4
AN4686	Cluster_4
AN4685	Cluster_4
AN4684	Cluster_4
AN11975	Cluster_4
AN4683	Cluster_6
AN4682	Cluster_4
AN4681	Cluster_4
AN4680	Cluster_4
AN11974	Cluster_4
AN4678	Cluster_4
AN4677	Cluster_4
AN4676	Cluster_4
AN4675	Cluster_4
AN4674	Cluster_4
AN4673	Cluster_4
AN4672	Cluster_4
AN4671	Cluster_4
AN4670	Cluster_4
AN4669	Cluster_4
AN4668	Cluster_4
AN11973	Cluster_4
AN4667	Cluster_4
AN4666	Cluster_4
AN4665	Cluster_4
AN4664	Cluster_4
AN4663	Cluster_4
AN4662	Cluster_4
AN4660	Cluster_4
AN4659	Cluster_4
AN4658	Cluster_4
AN12165	Cluster_6
AN4657	Cluster_6
AN4656	Cluster_4
AN4655	Cluster_3
AN4654	Cluster_4
AN4653	Cluster_4
AN4652	Cluster_4
AN10574	Cluster_4
AN10578	Cluster_6
AN4650	Cluster_4
AN4649	Cluster_4
AN4648	Cluster_4
AN4647	Cluster_6
AN4646	Cluster_3
AN4645	Cluster_4
AN4644	Cluster_4
AN4643	Cluster_4
AN4642	Cluster_4
AN10573	Cluster_4
AN10576	Cluster_4
AN4640	Cluster_4
AN4639	Cluster_4
AN4638	Cluster_6
AN12164	Cluster_6
AN4637	Cluster_2
AN4636	Cluster_3
AN10572	Cluster_4
AN10575	Cluster_4
AN4634	Cluster_4
AN4633	Cluster_6
AN4632	Cluster_6
AN4631	Cluster_4
AN4630	Cluster_4
AN4628	Cluster_4
AN4629	Cluster_4
AN4627	Cluster_4
AN4626	Cluster_4
AN4625	Cluster_4
AN10579	Cluster_4
AN10571	Cluster_4
AN4623	Cluster_4
AN4622	Cluster_4
AN4621	Cluster_4
AN4620	Cluster_4
AN4619	Cluster_4
AN4618	Cluster_4
AN4617	Cluster_4
AN4616	Cluster_6
AN4615	Cluster_1
AN4614	Cluster_5
AN4613	Cluster_4
AN4612	Cluster_6
AN11444	Cluster_4
AN4611	Cluster_4
AN4610	Cluster_4
AN4609	Cluster_4
AN4608	Cluster_4
AN4607	Cluster_4
AN4606	Cluster_4
AN4605	Cluster_4
AN4604	Cluster_4
AN4603	Cluster_4
AN12163	Cluster_4
AN4602	Cluster_4
AN4601	Cluster_6
AN4600	Cluster_4
AN4599	Cluster_4
AN4598	Cluster_4
AN4597	Cluster_4
AN4596	Cluster_4
AN4595	Cluster_4
AN4594	Cluster_3
AN4593	Cluster_6
AN4592	Cluster_4
AN4591	Cluster_4
AN12465	Cluster_4
AN4590	Cluster_4
AN4589	Cluster_4
AN4588	Cluster_4
AN11914	Cluster_4
AN4587	Cluster_4
AN4586	Cluster_4
AN4585	Cluster_4
AN4584	Cluster_6
AN4583	Cluster_6
AN4582	Cluster_4
AN4581	Cluster_4
AN4580	Cluster_4
AN4579	Cluster_6
AN4578	Cluster_6
AN4577	Cluster_4
AN4576	Cluster_4
AN4575	Cluster_4
AN4574	Cluster_4
AN4573	Cluster_4
AN4572	Cluster_4
AN4571	Cluster_4
AN4570	Cluster_4
AN4569	Cluster_6
AN10570	Cluster_4
AN10565	Cluster_4
AN4567	Cluster_4
AN4566	Cluster_4
AN4565	Cluster_4
AN4564	Cluster_4
AN4563	Cluster_6
AN4562	Cluster_4
AN4561	Cluster_4
AN4560	Cluster_6
AN4559	Cluster_4
AN4558	Cluster_6
AN4557	Cluster_6
AN4556	Cluster_4
AN4555	Cluster_4
AN4554	Cluster_6
AN4553	Cluster_6
AN4552	Cluster_6
AN11913	Cluster_4
AN11912	Cluster_4
AN4550	Cluster_4
AN4549	Cluster_4
AN4548	Cluster_4
AN4547	Cluster_4
AN4546	Cluster_4
AN4545	Cluster_4
AN4544	Cluster_4
AN4543	Cluster_4
AN4542	Cluster_4
AN4541	Cluster_4
AN4540	Cluster_4
AN4539	Cluster_4
AN4538	Cluster_4
AN4537	Cluster_4
AN4536	Cluster_6
AN4535	Cluster_4
AN11911	Cluster_4
AN4534	Cluster_4
AN10564	Cluster_4
AN10567	Cluster_4
AN4532	Cluster_6
AN4531	Cluster_4
AN4530	Cluster_4
AN4529	Cluster_4
AN11442	Cluster_4
AN4528	Cluster_6
AN4527	Cluster_4
AN4526	Cluster_4
AN4525	Cluster_4
AN4524	Cluster_4
AN4523	Cluster_6
AN4522	Cluster_6
AN4521	Cluster_4
AN4520	Cluster_4
AN4519	Cluster_4
AN4518	Cluster_4
AN4517	Cluster_4
AN10569	Cluster_4
AN10563	Cluster_6
AN4515	Cluster_4
AN10566	Cluster_4
AN10562	Cluster_4
AN4513	Cluster_4
AN4512	Cluster_4
AN4511	Cluster_4
AN4510	Cluster_4
AN4509	Cluster_4
AN11910	Cluster_6
AN4508	Cluster_6
AN4507	Cluster_4
AN4506	Cluster_4
AN4505	Cluster_4
AN4504	Cluster_4
AN4503	Cluster_4
AN4502	Cluster_4
AN4501	Cluster_6
AN4500	Cluster_3
AN4499	Cluster_6
AN4498	Cluster_4
AN11439	Cluster_4
AN4497	Cluster_4
AN4496	Cluster_4
AN4495	Cluster_4
AN4494	Cluster_6
AN4493	Cluster_6
AN4492	Cluster_4
AN4491	Cluster_6
AN4490	Cluster_6
AN4489	Cluster_4
AN4488	Cluster_4
AN4487	Cluster_4
AN4486	Cluster_4
AN4485	Cluster_4
AN11909	Cluster_4
AN4484	Cluster_6
AN4483	Cluster_6
AN4482	Cluster_6
AN4481	Cluster_4
AN4480	Cluster_4
AN4479	Cluster_4
AN4478	Cluster_4
AN4477	Cluster_4
AN10568	Cluster_4
AN10561	Cluster_6
AN4475	Cluster_2
AN4474	Cluster_3
AN4473	Cluster_6
AN4472	Cluster_4
AN4471	Cluster_6
AN4470	Cluster_4
AN11231	Cluster_4
AN9433	Cluster_4
AN11230	Cluster_4
AN9434	Cluster_4
AN9435	Cluster_4
AN4469	Cluster_4
AN4468	Cluster_6
AN4467	Cluster_6
AN10557	Cluster_6
AN10560	Cluster_4
AN4465	Cluster_4
AN4464	Cluster_6
AN4463	Cluster_4
AN4462	Cluster_4
AN4461	Cluster_4
AN4460	Cluster_4
AN4459	Cluster_4
AN4458	Cluster_4
AN4457	Cluster_4
AN4456	Cluster_4
AN4455	Cluster_4
AN4454	Cluster_4
AN4453	Cluster_4
AN4452	Cluster_4
AN4451	Cluster_6
AN12265	Cluster_4
AN4450	Cluster_4
AN4449	Cluster_4
AN4448	Cluster_4
AN4447	Cluster_4
AN4446	Cluster_4
AN4445	Cluster_4
AN4444	Cluster_4
AN4443	Cluster_6
AN10559	Cluster_6
AN10556	Cluster_4
AN4441	Cluster_4
AN4440	Cluster_4
AN4439	Cluster_4
AN4438	Cluster_4
AN10555	Cluster_4
AN10558	Cluster_4
AN11438	Cluster_4
AN12264	Cluster_4
AN4435	Cluster_4
AN4434	Cluster_4
AN4433	Cluster_4
AN12263	Cluster_4
AN4432	Cluster_4
AN4431	Cluster_4
AN4430	Cluster_4
AN4429	Cluster_4
AN4428	Cluster_4
AN4427	Cluster_4
AN4426	Cluster_4
AN4425	Cluster_4
AN4424	Cluster_4
AN4423	Cluster_4
AN4422	Cluster_4
AN4421	Cluster_6
AN10552	Cluster_6
AN10554	Cluster_4
AN12230	Cluster_4
AN4419	Cluster_6
AN11437	Cluster_4
AN4418	Cluster_4
AN4417	Cluster_6
AN4416	Cluster_6
AN4415	Cluster_4
AN4414	Cluster_4
AN10551	Cluster_6
AN10553	Cluster_4
AN4412	Cluster_6
AN4411	Cluster_4
AN4410	Cluster_4
AN4409	Cluster_6
AN4408	Cluster_6
AN4407	Cluster_4
AN12229	Cluster_4
AN4406	Cluster_4
AN4405	Cluster_4
AN4404	Cluster_4
AN4403	Cluster_4
AN4402	Cluster_4
AN4401	Cluster_4
AN4399	Cluster_4
AN4398	Cluster_6
AN4397	Cluster_4
AN4396	Cluster_4
AN4395	Cluster_4
AN4394	Cluster_4
AN4393	Cluster_4
AN4392	Cluster_4
AN4391	Cluster_4
AN4390	Cluster_4
AN4389	Cluster_4
AN4388	Cluster_6
AN4387	Cluster_6
AN11436	Cluster_4
AN4386	Cluster_4
AN4385	Cluster_4
AN4384	Cluster_4
AN4383	Cluster_4
AN4382	Cluster_4
AN4381	Cluster_4
AN4380	Cluster_4
AN4379	Cluster_4
AN4378	Cluster_4
AN4377	Cluster_4
AN4376	Cluster_4
AN4375	Cluster_4
AN4374	Cluster_4
AN4373	Cluster_4
AN4372	Cluster_4
AN4371	Cluster_4
AN4369	Cluster_4
AN4368	Cluster_4
AN12157	Cluster_4
AN12156	Cluster_4
AN4367	Cluster_4
AN4366	Cluster_4
AN4365	Cluster_4
AN4364	Cluster_6
AN4363	Cluster_4
AN4362	Cluster_4
AN4361	Cluster_6
AN4360	Cluster_4
AN4359	Cluster_4
AN4358	Cluster_6
AN4357	Cluster_4
AN12155	Cluster_4
AN4355	Cluster_4
AN4354	Cluster_6
AN4353	Cluster_6
AN4352	Cluster_6
AN4351	Cluster_4
AN10548	Cluster_4
AN10544	Cluster_4
AN11435	Cluster_4
AN4349	Cluster_6
AN4348	Cluster_4
AN4347	Cluster_4
AN4346	Cluster_4
AN4345	Cluster_4
AN12154	Cluster_4
AN12153	Cluster_4
AN4343	Cluster_4
AN4342	Cluster_4
AN4341	Cluster_4
AN4340	Cluster_4
AN4339	Cluster_4
AN4338	Cluster_4
AN4337	Cluster_4
AN4336	Cluster_4
AN4335	Cluster_4
AN10550	Cluster_4
AN10543	Cluster_4
AN4333	Cluster_4
AN4332	Cluster_4
AN4331	Cluster_4
AN4330	Cluster_4
AN4329	Cluster_6
AN4328	Cluster_6
AN10547	Cluster_6
AN10542	Cluster_6
AN10541	Cluster_4
AN10546	Cluster_6
AN4325	Cluster_4
AN4324	Cluster_4
AN4323	Cluster_4
AN4322	Cluster_4
AN10540	Cluster_4
AN10545	Cluster_4
AN4320	Cluster_4
AN4319	Cluster_4
AN4318	Cluster_6
AN4317	Cluster_6
AN4316	Cluster_4
AN4315	Cluster_6
AN4314	Cluster_4
AN4313	Cluster_4
AN4312	Cluster_4
AN4311	Cluster_4
AN4310	Cluster_4
AN4309	Cluster_4
AN4308	Cluster_4
AN4307	Cluster_6
AN4306	Cluster_4
AN12152	Cluster_6
AN4305	Cluster_6
AN4304	Cluster_6
AN4303	Cluster_4
AN4302	Cluster_4
AN4301	Cluster_4
AN4300	Cluster_2
AN4299	Cluster_1
AN10539	Cluster_5
AN4298	Cluster_6
AN4297	Cluster_3
AN4295	Cluster_6
AN4294	Cluster_6
AN4293	Cluster_6
AN4292	Cluster_3
AN4291	Cluster_6
AN4290	Cluster_4
AN8870	Cluster_3
AN11131	Cluster_6
AN8869	Cluster_6
AN11130	Cluster_4
AN8868	Cluster_6
AN8867	Cluster_6
AN8866	Cluster_6
AN8865	Cluster_6
AN11137	Cluster_6
AN8864	Cluster_6
AN8863	Cluster_6
AN8862	Cluster_4
AN8861	Cluster_4
AN8860	Cluster_4
AN11632	Cluster_4
AN8859	Cluster_4
AN12318	Cluster_4
AN8858	Cluster_4
AN8857	Cluster_4
AN11136	Cluster_6
AN8856	Cluster_6
AN8855	Cluster_6
AN8854	Cluster_4
AN8853	Cluster_4
AN11135	Cluster_4
AN11129	Cluster_4
AN11132	Cluster_6
AN8851	Cluster_6
AN8850	Cluster_4
AN8849	Cluster_4
AN8848	Cluster_4
AN8847	Cluster_4
AN8846	Cluster_4
AN8845	Cluster_6
AN8844	Cluster_6
AN11133	Cluster_4
AN8843	Cluster_4
AN11138	Cluster_4
AN8842	Cluster_4
AN8841	Cluster_6
AN8840	Cluster_6
AN8839	Cluster_4
AN12317	Cluster_4
AN11128	Cluster_4
AN11126	Cluster_6
AN8837	Cluster_4
AN8836	Cluster_4
AN11127	Cluster_4
AN11125	Cluster_4
AN8834	Cluster_4
AN8833	Cluster_4
AN8832	Cluster_4
AN12364	Cluster_4
AN8831	Cluster_4
AN8830	Cluster_6
AN8829	Cluster_8
AN8828	Cluster_2
AN8827	Cluster_4
AN8826	Cluster_4
AN8825	Cluster_4
AN8824	Cluster_4
AN8823	Cluster_4
AN8822	Cluster_4
AN8821	Cluster_4
AN8820	Cluster_4
AN9482	Cluster_4
AN9481	Cluster_4
AN12435	Cluster_4
AN12434	Cluster_4
AN8819	Cluster_4
AN8817	Cluster_6
AN8818	Cluster_4
AN8816	Cluster_6
AN8815	Cluster_3
AN8814	Cluster_4
AN8813	Cluster_4
AN8812	Cluster_6
AN11631	Cluster_4
AN8811	Cluster_4
AN8810	Cluster_4
AN11123	Cluster_4
AN8809	Cluster_4
AN8808	Cluster_4
AN8807	Cluster_4
AN8806	Cluster_4
AN8805	Cluster_4
AN8804	Cluster_4
AN8803	Cluster_4
AN8802	Cluster_4
AN8801	Cluster_4
AN8800	Cluster_4
AN8799	Cluster_4
AN8798	Cluster_4
AN8797	Cluster_4
AN8796	Cluster_4
AN8795	Cluster_4
AN8794	Cluster_4
AN8793	Cluster_6
AN8792	Cluster_4
AN8791	Cluster_6
AN8790	Cluster_4
AN8789	Cluster_4
AN8788	Cluster_4
AN8787	Cluster_4
AN8786	Cluster_4
AN8785	Cluster_4
AN8784	Cluster_4
AN8783	Cluster_4
AN8782	Cluster_4
AN8781	Cluster_4
AN8780	Cluster_4
AN8779	Cluster_4
AN12082	Cluster_4
AN8778	Cluster_4
AN8777	Cluster_3
AN8776	Cluster_5
AN8775	Cluster_4
AN8774	Cluster_6
AN11122	Cluster_6
AN11114	Cluster_4
AN8772	Cluster_4
AN11121	Cluster_4
AN11120	Cluster_4
AN11119	Cluster_4
AN11113	Cluster_4
AN8770	Cluster_4
AN12080	Cluster_6
AN8769	Cluster_4
AN8768	Cluster_4
AN8767	Cluster_4
AN8766	Cluster_4
AN8765	Cluster_4
AN8764	Cluster_4
AN8763	Cluster_6
AN8762	Cluster_6
AN8761	Cluster_4
AN8760	Cluster_4
AN8759	Cluster_4
AN11118	Cluster_4
AN11112	Cluster_4
AN8757	Cluster_4
AN8756	Cluster_4
AN8755	Cluster_4
AN11124	Cluster_4
AN8754	Cluster_4
AN8753	Cluster_4
AN8752	Cluster_4
AN8751	Cluster_4
AN8750	Cluster_4
AN8749	Cluster_4
AN8748	Cluster_4
AN11117	Cluster_6
AN8746	Cluster_6
AN11115	Cluster_4
AN11111	Cluster_4
AN11116	Cluster_4
AN8744	Cluster_4
AN8743	Cluster_4
AN11630	Cluster_4
AN8742	Cluster_4
AN12078	Cluster_4
AN8741	Cluster_6
AN8740	Cluster_6
AN12077	Cluster_4
AN8739	Cluster_4
AN8738	Cluster_4
AN9505	Cluster_4
AN9504	Cluster_4
AN12244	Cluster_4
AN8737	Cluster_4
AN8736	Cluster_4
AN8735	Cluster_4
AN8734	Cluster_4
AN8733	Cluster_4
AN8732	Cluster_4
AN11105	Cluster_6
AN11108	Cluster_6
AN8730	Cluster_4
AN8729	Cluster_4
AN8728	Cluster_4
AN8727	Cluster_4
AN8726	Cluster_4
AN8725	Cluster_4
AN8724	Cluster_4
AN8723	Cluster_4
AN12241	Cluster_6
AN8722	Cluster_6
AN8721	Cluster_4
AN8720	Cluster_4
AN8719	Cluster_4
AN8718	Cluster_4
AN8717	Cluster_4
AN8716	Cluster_4
AN11107	Cluster_4
AN11104	Cluster_6
AN8714	Cluster_6
AN8713	Cluster_6
AN8712	Cluster_6
AN8711	Cluster_6
AN8710	Cluster_4
AN8709	Cluster_6
AN8708	Cluster_6
AN8707	Cluster_6
AN8706	Cluster_4
AN8705	Cluster_3
AN8704	Cluster_3
AN8703	Cluster_4
AN8702	Cluster_6
AN8701	Cluster_6
AN11110	Cluster_4
AN11103	Cluster_4
AN11106	Cluster_4
AN11102	Cluster_4
AN8698	Cluster_4
AN8697	Cluster_4
AN8696	Cluster_4
AN8695	Cluster_4
AN8694	Cluster_4
AN11101	Cluster_4
AN11109	Cluster_4
AN8692	Cluster_6
AN8691	Cluster_6
AN8690	Cluster_4
AN8689	Cluster_6
AN8688	Cluster_4
AN8687	Cluster_4
AN8685	Cluster_4
AN8684	Cluster_4
AN8683	Cluster_4
AN8682	Cluster_4
AN8681	Cluster_4
AN8680	Cluster_4
AN8679	Cluster_4
AN8678	Cluster_4
AN8677	Cluster_4
AN8676	Cluster_6
AN8675	Cluster_6
AN8674	Cluster_6
AN8673	Cluster_4
AN8672	Cluster_4
AN8671	Cluster_4
AN8670	Cluster_4
AN8669	Cluster_4
AN9500	Cluster_4
AN11246	Cluster_4
AN8668	Cluster_4
